state_id,date_,new_cases,population
AR,2021-06-01,69,3033946
AR,2021-06-02,242,3033946
AR,2021-06-03,197,3033946
AR,2021-06-04,253,3033946
AR,2021-06-05,203,3033946
AR,2021-06-06,88,3033946
AR,2021-06-07,62,3033946
AR,2021-06-08,231,3033946
AR,2021-06-09,201,3033946
AR,2021-06-10,289,3033946
AR,2021-06-11,393,3033946
AR,2021-06-12,264,3033946
AR,2021-06-13,91,3033946
AR,2021-06-14,103,3033946
AR,2021-06-15,302,3033946
AR,2021-06-16,288,3033946
AR,2021-06-17,288,3033946
AR,2021-06-18,276,3033946
AR,2021-06-19,251,3033946
AR,2021-06-20,133,3033946
AR,2021-06-21,90,3033946
AR,2021-06-22,485,3033946
AR,2021-06-23,389,3033946
AR,2021-06-24,383,3033946
AR,2021-06-25,302,3033946
AR,2021-06-26,0,3033946
AR,2021-06-27,0,3033946
AR,2021-06-28,966,3033946
AR,2021-06-29,479,3033946
AR,2021-06-30,686,3033946
AR,2021-07-01,700,3033946
AR,2021-07-02,494,3033946
AR,2021-07-03,0,3033946
AR,2021-07-04,0,3033946
AR,2021-07-05,1246,3033946
AR,2021-07-06,270,3033946
AR,2021-07-07,1000,3033946
AR,2021-07-08,1210,3033946
AR,2021-07-09,1155,3033946
AR,2021-07-10,0,3033946
AR,2021-07-11,0,3033946
AR,2021-07-12,2013,3033946
AR,2021-07-13,1476,3033946
AR,2021-07-14,1309,3033946
AR,2021-07-15,980,3033946
AR,2021-07-16,1342,3033946
AR,2021-07-17,0,3033946
AR,2021-07-18,0,3033946
AR,2021-07-19,2552,3033946
AR,2021-07-20,1875,3033946
AR,2021-07-21,1459,3033946
AR,2021-07-22,1860,3033946
AR,2021-07-23,1987,3033946
AR,2021-07-24,2015,3033946
AR,2021-07-25,1022,3033946
AR,2021-07-26,621,3033946
AR,2021-07-27,2052,3033946
AR,2021-07-28,1703,3033946
AR,2021-07-29,2843,3033946
