States,Date,Req,vaccinated_pct,monthly_new_cases_per_100k, infection_rate,hospital_beds_per_100k,new_deaths_per_100K
IA,2021-Mar-01,0,0,471.8157409,1.05,7.070765101,8.617494967
IA,2021-Apr-01,0,20,424.2143401,1,10.13265892,4.387662272
IA,2021-May-01,0,35,207.7984226,0.9,8.996285954,3.314421141
IA,2021-Jun-01,0,44,76.92613639,1.04,6.881369607,2.619970997
IA,2021-Jul-01,0,48,184.3449473,1.33,8.617494967,1.420466203
IA,2021-Aug-01,0,50,787.569595,1.3,20.3915815,2.683102828
IA,2021-Sep-01,0,52,1493.383468,1.12,22.79059108,9.343511026
IA,2021-Oct-01,0,54,1075.608575,1.05,21.33855897,12.68949808
IA,2021-Nov-01,0,56,1241.361198,1.07,23.73756855,12.27914118
IA,2021-Dec-01,0,57,1579.653116,1.3,27.02042378,15.90922148
IA,2022-Jan-01,0,59,4317.806901,1.33,32.00783845,20.29688375
IA,2022-Feb-01,0,60,1154.081441,0.71,25.78935307,18.43449473
ID,2021-Mar-01,0,0,507.1707624,1.03,9.354220124,5.537268234
ID,2021-Apr-01,0,17,380.7812709,0.97,9.139180581,4.515830405
ID,2021-May-01,0,27,234.2855822,0.96,7.580143894,2.526714631
ID,2021-Jun-01,0,33,160.7420585,1.04,6.397426407,3.386872804
ID,2021-Jul-01,0,36,295.1417729,1.29,9.623019553,2.41919486
ID,2021-Aug-01,0,38,1123.527853,1.26,29.4604174,7.203824693
ID,2021-Sep-01,0,39,1930.463738,1.12,42.63158942,29.24537786
ID,2021-Oct-01,0,42,1827.782356,0.99,40.37367421,33.97624781
ID,2021-Nov-01,0,44,828.762399,0.95,24.67578757,21.02011534
ID,2021-Dec-01,0,45,675.7080043,1.36,17.09564368,12.52605338
ID,2022-Jan-01,0,46,3277.202637,1.39,33.22360941,14.03133019
ID,2022-Feb-01,0,52,2329.362091,0.92,32.20217158,16.66556459
IL,2021-Mar-01,0,0,463.1196864,1.14,12.06906881,6.714762078
IL,2021-Apr-01,0,17,720.4366887,1.13,17.68591955,5.664586019
IL,2021-May-01,0,31,377.9201756,0.91,16.72325816,7.414879451
IL,2021-Jun-01,0,40,76.96517576,1.15,9.31633459,3.588101537
IL,2021-Jul-01,0,46,220.4653696,1.33,7.884276326,1.949190414
IL,2021-Aug-01,0,49,825.6134122,1.25,17.96437532,4.646233476
IL,2021-Sep-01,0,51,837.7938633,1.02,19.0463749,9.268599314
IL,2021-Oct-01,0,54,543.0205816,1.07,13.67615641,7.597864674
IL,2021-Nov-01,0,61,908.6727915,1.18,19.0463749,6.014644705
IL,2021-Dec-01,0,62,2696.541842,1.28,47.17836389,12.61006859
IL,2022-Jan-01,0,64,6139.011009,1.24,59.04057984,29.33332676
IL,2022-Feb-01,0,66,847.301139,0.74,29.4685767,16.61187585
IN,2021-Mar-01,0,0,365.945243,1.08,10.94676595,6.847238836
IN,2021-Apr-01,0,17,462.5412689,1.08,13.95896329,4.305238152
IN,2021-May-01,0,27,325.4201685,0.98,14.69364557,4.231769925
IN,2021-Jun-01,0,36,124.7490509,1.08,10.02106628,3.379538481
IN,2021-Jul-01,0,40,255.419641,1.29,11.79899739,2.292208709
IN,2021-Aug-01,0,44,1282.387917,1.29,32.53173129,7.141111748
IN,2021-Sep-01,0,46,1531.988875,1.04,39.27611461,17.14748438
IN,2021-Oct-01,0,48,822.8882329,1.07,27.93262023,15.06098671
IN,2021-Nov-01,0,50,1213.724511,1.16,32.54642494,12.84224623
IN,2021-Dec-01,0,51,2141.760472,1.3,44.4629715,21.74659545
IN,2022-Jan-01,0,52,5535.963212,1.3,50.50205983,34.07456408
IN,2022-Feb-01,0,53,837.3320865,0.63,38.68836879,21.21762421
KS,2021-Mar-01,1,0,269.3999501,0.99,10.66082001,7.164345282
KS,2021-Apr-01,1,17,225.9339701,1.06,8.706907663,2.879449778
KS,2021-May-01,1,32,159.2952752,0.93,6.684436985,3.085124762
KS,2021-Jun-01,1,39,127.7927235,1.24,5.724620393,2.570937302
KS,2021-Jul-01,1,42,499.6188157,1.32,16.3854404,2.365262318
KS,2021-Aug-01,1,45,1232.987251,1.17,27.49188955,10.18091172
KS,2021-Sep-01,1,48,1368.184274,1.04,27.42333122,16.79679037
KS,2021-Oct-01,1,51,879.6033489,1.04,20.63605674,12.47761571
KS,2021-Nov-01,1,53,1050.279307,1.13,22.14433996,9.735282584
KS,2021-Dec-01,1,55,1856.559524,1.39,32.05101837,10.72937834
KS,2022-Jan-01,1,57,7216.998078,1.4,47.06529221,14.08873642
KS,2022-Feb-01,1,59,1216.087623,0.61,39.28392198,13.95161976
KY,2021-Mar-01,0,0,484.8335522,0.96,15.80105666,18.25602309
KY,2021-Apr-01,0,18,387.3713849,1,10.53403777,10.46708414
